n,wr,total_pips,pf,avg,tf,pair,strat,spread,bars
39,5.128205128205128,-375.2469289268878,0.12847921636435833,-9.621716126330456,M30,AUDUSD,bb_squeeze,9,5000
59,5.084745762711865,-737.545007227216,0.1106634800697131,-12.500762834359595,M30,GBPUSD,bb_squeeze,10,5000
42,4.761904761904762,-318.27695885225046,0.12071919765667852,-7.578022829815487,M15,EURUSD,dual_ma_adx,9,5000
451,4.212860310421286,-4010.3080313426512,0.09320993797690097,-8.892035546214304,M15,GBPUSD,williams_r,10,5000
825,4.0,-7403.756764714646,0.09218068068673578,-8.974250623896541,M15,GBPUSD,hull_ma,10,5000
136,3.6764705882352944,-1056.1963997760147,0.08413761754457821,-7.7661499983530495,M15,EURUSD,adx_di,9,5000
168,3.571428571428571,-1678.279638932076,0.08458608997507948,-9.989759755548071,M30,USDCHF,breakout_retest,12,5000
1036,3.474903474903475,-9032.122860649753,0.08602145450485893,-8.718265309507483,M15,GBPUSD,3ema_stack,10,5000
154,3.2467532467532463,-1245.7714111917883,0.13675926009092088,-8.089424747998626,M15,USDJPY,breakout_retest,13,5000
171,2.923976608187134,-1250.7001654545832,0.08623211893859004,-7.31403605528996,M15,EURUSD,breakout_retest,9,5000
108,2.7777777777777777,-1072.3509558376622,0.04074669623386975,-9.929175517015391,M15,EURUSD,ichimoku,9,5000
40,2.5,-301.844496467355,0.07836890737734951,-7.5461124116838745,M15,AUDUSD,dual_ma_adx,9,5000
340,2.3529411764705883,-2496.6812639259783,0.05642259149658644,-7.343180188017583,M15,AUDUSD,vol_breakout,9,5000
344,2.3255813953488373,-2481.91921045008,0.06845492725804156,-7.214881425726976,M15,EURUSD,vol_breakout,9,5000
433,2.3094688221709005,-3105.4213748419597,0.050960065522330095,-7.1718738449006,M15,AUDUSD,cci_trend,9,5000
477,2.3060796645702304,-3386.907701312139,0.05702249958504635,-7.100435432520208,M15,EURUSD,williams_r,9,5000
443,2.2573363431151243,-3179.7288154925077,0.056490597983859164,-7.177717416461642,M15,EURUSD,cci_trend,9,5000
134,2.2388059701492535,-1335.6596951063766,0.0687733268640359,-9.96760966497296,M15,USDJPY,adx_di,13,5000
402,2.2388059701492535,-3872.540371745639,0.05883955605201836,-9.633185004342385,M15,GBPUSD,psar,10,5000
47,2.127659574468085,-554.8763280975885,0.05799315458383458,-11.805879321225287,M30,USDCHF,dual_ma_adx,12,5000
428,2.102803738317757,-4456.726369316029,0.05218635900890603,-10.41291207784119,M30,USDCHF,psar,12,5000
430,2.0930232558139537,-3106.6112989054564,0.05255759506383239,-7.224677439315014,M15,EURUSD,psar,9,5000
1133,2.0300088261253313,-11526.304763576232,0.048062873797958754,-10.173261044639217,M30,USDCHF,3ema_stack,12,5000
997,1.9057171514543632,-8430.64451295227,0.06264343098866082,-8.456012550604083,M15,USDJPY,hull_ma,13,5000
405,1.728395061728395,-3077.734370316105,0.030563354961104953,-7.599344124237296,M15,AUDUSD,psar,9,5000
352,1.7045454545454544,-3843.4822453294187,0.042395760857579304,-10.91898365150403,M30,USDCHF,vol_breakout,12,5000
945,1.6931216931216932,-6867.2921044442055,0.042919336199822064,-7.26697577189863,M15,EURUSD,hull_ma,9,5000
497,1.6096579476861168,-4402.54454745151,0.053126018056695284,-8.858238526059376,M15,USDJPY,williams_r,13,5000
945,1.5873015873015872,-9796.779673485871,0.036811999715478744,-10.366962617445367,M30,USDCHF,hull_ma,12,5000
136,1.4705882352941175,-1460.0531966143426,0.04528299683450343,-10.735685269223108,M30,USDCHF,adx_di,12,5000
341,1.466275659824047,-3138.7585104506647,0.059797204913960594,-9.204570411878782,M15,USDJPY,vol_breakout,13,5000
503,1.3916500994035785,-3708.1639517821513,0.03323027062540827,-7.372095331574854,M15,AUDUSD,williams_r,9,5000
1191,1.343408900083963,-8793.767162382232,0.03166567045003025,-7.383515669506492,M15,AUDUSD,3ema_stack,9,5000
457,1.312910284463895,-4932.59092400982,0.027542534333795398,-10.793415588642931,M30,USDCHF,cci_trend,12,5000
