n,wr,total_pips,pf,avg,tf,pair,strat,params,spread,bars
119,36.134453781512605,-27920.60663080891,0.8237264139556655,-234.62694647738581,M15,XAUUSD,donchian,"(50, 21, 2.0, 3.0)",28,5000
133,36.09022556390977,-732.8368767831569,0.9316807349045314,-5.510051705136518,D1,EURUSD,rsi,"(21, 65, 35, 14, 1.5, 2.5)",0,3730
25,36.0,189.14433067491964,1.192765424671608,7.565773226996786,D1,AUDUSD,ema_macd,"(5, 13, 50, 14, 1.0, 2.0)",9,2284
75,36.0,-1311.5803142812795,0.8334792132972155,-17.487737523750393,D1,EURUSD,keltner,"(30, 2.0, 21, 2.0, 3.0)",0,3730
78,35.8974358974359,-996.2325593345536,0.8711251857606298,-12.772212299160943,D1,GBPUSD,rsi,"(21, 65, 35, 14, 1.5, 2.5)",8,2284
120,35.833333333333336,-447.91363662524896,0.953406611634592,-3.732613638543741,D1,EURUSD,keltner,"(20, 1.5, 14, 1.5, 2.5)",0,3730
176,35.79545454545455,8108.60564411751,1.0229608287379113,46.07162297794039,M30,XAUUSD,rsi,"(14, 70, 30, 14, 1.5, 2.5)",28,5000
109,35.77981651376147,-565.9328011283546,0.916828791209042,-5.192044047049125,D1,AUDUSD,rsi,"(7, 75, 25, 14, 1.5, 2.5)",9,2284
118,35.59322033898305,-20516.129330636344,0.871748435348127,-173.8655028020029,M15,XAUUSD,rsi,"(14, 75, 25, 14, 2.0, 3.0)",28,5000
218,35.321100917431195,-20386.3242093234,0.9116184933780185,-93.5152486666211,M15,XAUUSD,rsi,"(7, 75, 25, 14, 1.5, 2.5)",28,5000
34,35.294117647058826,-510.6730748438412,0.7779900077523505,-15.019796318936507,D1,AUDUSD,supertrend,"(5, 1.5, 14, 1.5, 2.5)",9,2284
34,35.294117647058826,-675.0000357025656,0.7682369499809699,-19.85294222654605,D1,AUDUSD,keltner,"(20, 2.0, 14, 2.0, 3.0)",9,2284
102,35.294117647058826,-791.3200004791244,0.9037305917170123,-7.758039220383572,D1,EURUSD,keltner,"(14, 1.5, 14, 1.5, 2.5)",0,3730
37,35.13513513513514,-611.220073201144,0.831946287079786,-16.519461437868756,D1,GBPUSD,supertrend,"(5, 1.5, 14, 1.5, 2.5)",8,2284
180,35.0,-920.1249327792107,0.9369226944911897,-5.111805182106726,D1,EURUSD,rsi,"(7, 75, 25, 14, 1.5, 2.5)",0,3730
40,35.0,-1353.0251320797215,0.740871972920049,-33.825628301993035,D1,GBPUSD,keltner,"(20, 2.0, 14, 2.0, 3.0)",8,2284
201,34.82587064676617,-20240.27478269204,0.8992636032298915,-100.69788449100517,M15,XAUUSD,donchian,"(20, 14, 1.5, 2.5)",28,5000
167,34.73053892215569,-7427.472376343076,0.9776920816186293,-44.47588249307231,M30,XAUUSD,rsi,"(21, 65, 35, 14, 1.5, 2.5)",28,5000
104,34.61538461538461,-1663.441169393802,0.845408383157013,-15.994626628786559,D1,GBPUSD,rsi,"(7, 75, 25, 14, 1.5, 2.5)",8,2284
182,34.61538461538461,-29213.08265541052,0.8500149478290312,-160.51144316159625,M15,XAUUSD,rsi,"(14, 70, 30, 14, 1.5, 2.5)",28,5000
189,34.39153439153439,22119.84955213348,1.096853692746457,117.03624101657927,M30,XAUUSD,keltner,"(20, 1.0, 14, 1.0, 2.0)",28,5000
32,34.375,-31.16154109592763,0.978019413864994,-0.9737981592477385,D1,AUDUSD,ema_macd,"(3, 8, 50, 14, 1.0, 1.8)",9,2284
131,34.35114503816794,-314.6012715487933,0.8459015063293803,-2.40153642403659,M30,GBPUSD,rsi,"(14, 75, 25, 14, 2.0, 3.0)",10,5000
135,34.074074074074076,-22202.047036413842,0.8427887119325387,-164.45960767713956,M15,XAUUSD,keltner,"(20, 1.5, 14, 1.5, 2.5)",28,5000
47,34.04255319148936,1378.027402716134,1.0320451864658187,29.3197319726837,M15,XAUUSD,ema_macd,"(3, 10, 50, 14, 1.5, 2.5)",28,5000
68,33.82352941176471,-845.469653460712,0.812848321794959,-12.433377256775177,D1,AUDUSD,keltner,"(20, 1.5, 14, 1.5, 2.5)",9,2284
323,33.746130030959755,29310.2129373018,1.0737073272681088,90.74369330433994,M30,XAUUSD,donchian,"(10, 14, 1.0, 2.0)",28,5000
172,33.72093023255814,-19003.498842848785,0.8903174792063474,-110.48545838865573,M15,XAUUSD,rsi,"(21, 65, 35, 14, 1.5, 2.5)",28,5000
